osm_id	street_id	street	housenumber	lon	lat
1879230803	62266821	Sector I El inglesillo	12	-6.5585288	37.0111495
368708542	100141123	Rua Francisco Albo	4170	-49.1114599	-26.8897016
483144980	99868295	Rua Engenheiro Weitnauer	362	-49.1073553	-26.8922004
368708543	332995976	Rua José Deeke	1333	-49.1112648	-26.8898814
413194522	331942441	Rua Professor Jacob Ineichen	4493	-49.1116889	-26.8178935
-7346539	53144887	Rua Hermann Tribess	2600	-49.0504187	-26.8645202
489966331	51865641	Rua XV de Novembro	11869	-49.1647863	-26.8370328
3125972887	335833000	Nordheimsvegen	17D	5.3564849	60.2647205
3125943374	335833000	Nordheimsvegen	11A	5.3549628	60.26458
3125972798	335833000	Nordheimsvegen	17B	5.3564384	60.2648094
3125998827	335833000	Nordheimsvegen	23C	5.3581036	60.2649712
3125943516	335833000	Nordheimsvegen	11H	5.3554944	60.2646841
3125972848	335833000	Nordheimsvegen	17A	5.356387	60.2647983
3125980256	335833000	Nordheimsvegen	19C	5.3569038	60.264867
3125993293	335833000	Nordheimsvegen	21D	5.3574291	60.264692
3125943507	335833000	Nordheimsvegen	11E	5.3552665	60.264624
3125943536	335833000	Nordheimsvegen	11N	5.3557186	60.2644563
3125943538	335833000	Nordheimsvegen	11P	5.355801	60.2643692
368708415	332995976	Rua José Deeke	1331	-49.1112731	-26.88962
